asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B097BG6DX1,Aristocrat,"Safari Cabin Pentagon Pro 8 Wheels 55Cm Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Navy",1699.0,8999.0,81.1,4.2,33737,2026-04-02T09:40:34
B097BH9MD5,Aristocrat,"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",1999.0,7800.0,74.4,4.0,28029,2026-04-02T09:41:16
B097JM2KRC,Aristocrat,"Safari Cabin Crescent 8 Wheels 56cm Small Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Thyme Green",1899.0,8799.0,78.4,4.1,2754,2026-04-02T09:41:56
B07YZF923N,Aristocrat,Aristocrat Polyester 63 cms Teal Blue Travel Duffle (Rookie),1119.0,3990.0,72.0,4.2,1310,2026-04-02T09:42:38
B0CWSB5B17,Aristocrat,Aristocrat Enigma 52 Cm Polyester Softsided Cabin Size Duffle Bag - Blue,469.0,2080.0,77.5,4.3,1429,2026-04-02T09:43:21
B09NXVCXJW,Aristocrat,Aristocrat Polyester Hard 50 Cms Luggage- Suitcase Travel Duffle (Dfroo52Etbl_Teal Blue),619.0,3570.0,82.7,4.2,1647,2026-04-02T09:43:58
B09NXV58V3,Aristocrat,"Aristocrat Polyester Rookie Duffle Bag(E) 62 Teal Blue, 30 Cm",709.0,4160.0,83.0,4.1,2945,2026-04-02T09:44:37
B0B6CF2SWY,Aristocrat,"Aristocrat Spark 62Cm Polyester Medium Red Duffle Bag, 30 Cm",769.0,3200.0,76.0,4.1,480,2026-04-02T09:45:20
B0FMF3SLPK,Aristocrat,"Aristocrat Liberty Cabin (Carry-On) Trolley Bag, 58Cm | Combination Lock | 8 Wheels | 3 Years International Warranty | Spanish Blue",1499.0,6250.0,76.0,4.2,1306,2026-04-02T09:46:00
B07S6CGNLB,Aristocrat,"Aristocrat Cadet Polyester 62 Cms Wheel Travel Duffle Bag (Blue), W-30 CM",1299.0,3990.0,67.4,4.1,6795,2026-04-02T09:46:38
