asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B097BHHCLF,Safari,"Safari Cabin Polypropylene Spinner Pentagon Pro 8 Wheels 55Cm Trolley Bag Hard Case, 360º Wheeling Carry-On Luggage for Men & Women, Travel Bag, Suitcase for Travel, Dusk Green",1699.0,8999.0,81.1,4.2,33737,2026-04-02T09:05:22
B097JMLPTC,Safari,"Safari Cabin Thorium Neo 8 Wheels 55 Cm Small Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Black",1999.0,7800.0,74.4,4.0,28029,2026-04-02T09:06:01
B0FLYJQLQQ,Safari,"Safari Genius Alley 55cm Cabin Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase, Trolley Bags, Deep Forrest",1399.0,6999.0,80.0,4.0,5505,2026-04-02T09:07:14
B0D9XZBSPN,Safari,"MOKOBARA Polycarbonate The Transit Cabin Pro Luggage Small Cabin Size Poly-Carbonate Hard Sided 8 Hinomoto Wheels Suitcase for Travelling (Black & Yellow, 56 cm)",7999.0,13999.0,42.9,4.4,441,2026-04-02T09:07:56
B0F67HPZBR,Safari,"Safari Genius Alley 75cm Large Size Check-in Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Black",2499.0,11999.0,79.2,4.0,5505,2026-04-02T09:08:37
B097BG6DX1,Safari,"Safari Cabin Pentagon Pro 8 Wheels 55Cm Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry on Luggage for Men & Women, Suitcase for Travel, Navy",1699.0,8999.0,81.1,4.2,33737,2026-04-02T09:09:54
B097BG27MD,Safari,"Safari Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1699.0,8999.0,81.1,4.2,33737,2026-04-02T09:11:07
B097BHY9NX,Safari,"Safari Pentagon Pro 8 Wheels Checkin Trolley Bag, Hard Case Polypropylene 360º Wheeling Luggage for Men & Women, Suitcase for Travel, Black, 66Cm Medium Size",2299.0,10999.0,79.1,4.2,33737,2026-04-02T09:11:49
B097GR45SS,Safari,"Safari Pentagon Pro 8 Wheels 66cm Medium Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Check in Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",2299.0,10999.0,79.1,4.2,33737,2026-04-02T09:12:32
B097JMG7ZB,Safari,"Safari Cabin Thorium Neo 8 Wheels 55 Cm Small Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",1999.0,7800.0,74.4,4.0,28029,2026-04-02T09:13:11
