asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B0FDL4NFN8,Skybags,"Storite Nylon 43Cm Small Lightweight Water Resistant Duffle Bag, Rucksack Travel Bag for Women with Shoes Compartment, Backpack Carry Luggage Bag for Men & Women(43x25x26Cm, Purple)",979.0,2999.0,67.4,3.9,863,2026-04-02T09:32:54
B0DV5G8MYP,Skybags,Storite Nylon 40 Cm Expandable Travel Duffle Bag for Women Luggage Bag with Wheels Waterproof Foldable Bag with Rolling Detachable Wheels- (Pink - 40 x 22 x 56 cm),1298.0,1999.0,35.1,4.3,47,2026-04-02T09:33:36
B0B3J6FVQ6,Skybags,"Storite Nylon 44cm Travel Duffle Bag Gym Shoulder Bag for Women with Wet Pocket & Shoe Compartment Weekender Overnight Travel Luggage Bag for Men & Women(Purple, 44 x 18 x 29 cm)",999.0,2999.0,66.7,4.2,1036,2026-04-02T09:34:18
B073JYDK7P,Skybags,Skybags Cardiff Polyester 55 cms Blue Travel Duffle (DFCAR55BLU),791.9,2230.0,64.5,4.2,11351,2026-04-02T09:35:02
B0C8ZY4579,Skybags,"Skybags Cabin Stroke Abs Hardshell Luggage (55 Cm) | Printed Luggage 4 Wheel Inline Trolley Bag with 8 Wheels and in-Built Combination Lock | Unisex, Blue and White, Small",1624.0,4450.0,63.5,4.1,2471,2026-04-02T09:35:41
B073JSGMRS,Skybags,Skybags Cardiff Polyester 63.5 cms Red Travel Duffle (DFTCAR62ERED) (DFTCAR62RED),1089.0,4620.0,76.4,4.2,5699,2026-04-02T09:36:24
B0D919CMLP,Skybags,"Skybags Polyester Stride 52Cm Gym Duffle Bag for Men and Women with Multiple Pockets and Separate Shoe Compartment for Travel, Sports and Workouts (Blue) with Wet Pouch",899.0,3000.0,70.0,4.3,172,2026-04-02T09:37:01
B0B6CH21F9,Skybags,"Skybags Polyester Active Nxt Duffle Carry_on_Luggage Blue, 46 Cm, 25 x 46 x 25 Centimeters",449.0,1880.0,76.1,4.1,901,2026-04-02T09:37:41
B07HCRSLFY,Skybags,Skybags Rubik Polyester 78 Cms Softsided Large check-in luggage,3099.0,9050.0,65.8,4.2,18947,2026-04-02T09:38:26
B0C8ZD8KNP,Skybags,"Skybags Medium ABS Trooper Size Hardshell Luggage (65 Cm) | Printed Luggage Inline Trolley Bag with 4 Wheels and Resetable Combination Lock | Unisex, Green",2699.0,9100.0,70.3,4.2,21492,2026-04-02T09:39:04
