asin,stars,title,text,date,verified,helpful,scraped_at
B0CJDZPSSF,5.0,5.0 out of 5 stars,"Top quality Product. Nice finish, really unique color in luggage",2 November 2025,False,2 people found this helpful,2026-04-02T09:48:13
B0CJDZPSSF,4.0,4.0 out of 5 stars,Good quality and impressive design,12 December 2025,False,,2026-04-02T09:48:13
B0CJDZPSSF,5.0,5.0 out of 5 stars,"Very good looking lightweight just 3.5 kilo
Good quality at this price",6 November 2025,False,One person found this helpful,2026-04-02T09:48:13
B0CJDZPSSF,5.0,5.0 out of 5 stars,High quality,23 December 2025,False,,2026-04-02T09:48:13
B0CJDZPSSF,5.0,5.0 out of 5 stars,"A very lovely shade of pink and is sturdy.
Overall approved",3 March 2026,False,,2026-04-02T09:48:14
B0CJDZPSSF,3.0,3.0 out of 5 stars,"Overall the product quality looks Good, But the trolley not Strurdy, it very light and too shaky.

Better Always go with Good Brand",10 November 2023,False,,2026-04-02T09:48:14
B0CJDZPSSF,4.0,4.0 out of 5 stars,"Yeah it's a little soft but overall good quality.
Again, it's lightweight and easy to carry around. Worth the money ,I'm happy with my purchase",13 June 2025,False,,2026-04-02T09:48:14
B0CJDZPSSF,5.0,5.0 out of 5 stars,"I recently purchased Nasher Miles The Line pink color suitcase and I loved it.
The build quality of this suitcase is impressive. The materials feel robust and durable
The color and design of this suitcase are sleek and modern. I bought pink color suitcase which looks amazing.
The zippers are smooth and sturdy.
Telescopic handle extends and retracts smoothly, and locks securely at various heights.
The 360-degree rotation is a game-changer, making movement of the suitcase much more convenient.
The suitcase arrived well-packaged.
The delivery time was prompt.",3 June 2024,False,,2026-04-02T09:48:14
B0CJDW9FJM,5.0,5.0 out of 5 stars,"Top quality Product. Nice finish, really unique color in luggage",2 November 2025,False,2 people found this helpful,2026-04-02T09:49:26
B0CJDW9FJM,4.0,4.0 out of 5 stars,Good quality and impressive design,12 December 2025,False,,2026-04-02T09:49:26
B0CJDW9FJM,5.0,5.0 out of 5 stars,"Very good looking lightweight just 3.5 kilo
Good quality at this price",6 November 2025,False,One person found this helpful,2026-04-02T09:49:26
B0CJDW9FJM,5.0,5.0 out of 5 stars,High quality,23 December 2025,False,,2026-04-02T09:49:26
B0CJDW9FJM,5.0,5.0 out of 5 stars,"A very lovely shade of pink and is sturdy.
Overall approved",3 March 2026,False,,2026-04-02T09:49:26
B0CJDW9FJM,3.0,3.0 out of 5 stars,"Overall the product quality looks Good, But the trolley not Strurdy, it very light and too shaky.

Better Always go with Good Brand",10 November 2023,False,,2026-04-02T09:49:26
B0CJDW9FJM,4.0,4.0 out of 5 stars,"Yeah it's a little soft but overall good quality.
Again, it's lightweight and easy to carry around. Worth the money ,I'm happy with my purchase",13 June 2025,False,,2026-04-02T09:49:26
B0CJDW9FJM,5.0,5.0 out of 5 stars,"I recently purchased Nasher Miles The Line pink color suitcase and I loved it.
The build quality of this suitcase is impressive. The materials feel robust and durable
The color and design of this suitcase are sleek and modern. I bought pink color suitcase which looks amazing.
The zippers are smooth and sturdy.
Telescopic handle extends and retracts smoothly, and locks securely at various heights.
The 360-degree rotation is a game-changer, making movement of the suitcase much more convenient.
The suitcase arrived well-packaged.
The delivery time was prompt.",3 June 2024,False,,2026-04-02T09:49:27
B0CJDV1FJB,5.0,5.0 out of 5 stars,"Top quality Product. Nice finish, really unique color in luggage",2 November 2025,False,2 people found this helpful,2026-04-02T09:50:38
B0CJDV1FJB,4.0,4.0 out of 5 stars,Good quality and impressive design,12 December 2025,False,,2026-04-02T09:50:38
B0CJDV1FJB,5.0,5.0 out of 5 stars,"Very good looking lightweight just 3.5 kilo
Good quality at this price",6 November 2025,False,One person found this helpful,2026-04-02T09:50:38
B0CJDV1FJB,5.0,5.0 out of 5 stars,High quality,23 December 2025,False,,2026-04-02T09:50:38
B0CJDV1FJB,5.0,5.0 out of 5 stars,"A very lovely shade of pink and is sturdy.
Overall approved",3 March 2026,False,,2026-04-02T09:50:38
B0CJDV1FJB,3.0,3.0 out of 5 stars,"Overall the product quality looks Good, But the trolley not Strurdy, it very light and too shaky.

Better Always go with Good Brand",10 November 2023,False,,2026-04-02T09:50:38
B0CJDV1FJB,4.0,4.0 out of 5 stars,"Yeah it's a little soft but overall good quality.
Again, it's lightweight and easy to carry around. Worth the money ,I'm happy with my purchase",13 June 2025,False,,2026-04-02T09:50:38
B0CJDV1FJB,5.0,5.0 out of 5 stars,"I recently purchased Nasher Miles The Line pink color suitcase and I loved it.
The build quality of this suitcase is impressive. The materials feel robust and durable
The color and design of this suitcase are sleek and modern. I bought pink color suitcase which looks amazing.
The zippers are smooth and sturdy.
Telescopic handle extends and retracts smoothly, and locks securely at various heights.
The 360-degree rotation is a game-changer, making movement of the suitcase much more convenient.
The suitcase arrived well-packaged.
The delivery time was prompt.",3 June 2024,False,,2026-04-02T09:50:38
B0D9VV7G4Z,5.0,5.0 out of 5 stars,"Amazing product! Absolutely value for money, very spacious and very ergoomic, the build quality is good! Firm and can be used as may deem fit and proper, the lock works alright and does the job. highly recommended for someone who needs it.",24 January 2026,False,,2026-04-02T09:51:18
B0D9VV7G4Z,4.0,4.0 out of 5 stars,"Ease of use, lock quality, authenticity. Cost is high.",7 February 2026,False,,2026-04-02T09:51:18
B0D9VV7G4Z,5.0,5.0 out of 5 stars,"I recently purchased a cabin bag from Nasher Miles and it’s simply wonderful. Lightweight yet very spacious, with smooth wheels and a sturdy handle that make travel effortless. The quality feels premium, and the design is stylish too. Perfect for short trips — highly recommended!
Product purchased at 2000/- in amazon sale.",27 September 2025,False,3 people found this helpful,2026-04-02T09:51:18
B0D9VV7G4Z,5.0,5.0 out of 5 stars,"Very nice color or nice quality lock is good space very good no bags have space like this ha but after one 2 time used little dirty while flights
I’ll order cabin bag also",6 March 2026,False,,2026-04-02T09:51:18
