asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B0FC6RGJTT,Aristocrat,Aristocrat Comet 8 Wheel Set of 3 (Small+Medium+Large) Hard Case Trolley Bag | Combination Lock | Tough and Durable Polycarbonate Luggage | 3 Year International Warranty | Suitcase for Travel | Grey,5829.0,33470.0,82.6,4.1,3241,2026-07-24T14:44:48
B0FC6R7Y9V,Aristocrat,"Aristocrat Comet Set of 3 (Cabin+Medium+Large) Hard Case Trolley Bags, Blue",5829.0,33470.0,82.6,4.1,3241,2026-07-24T14:45:25
B0FC6PGW54,Aristocrat,Aristocrat Comet 8 Wheel Set of 3 (Small+Medium+Large) Hard Case Trolley Bag | Combination Lock | Tough and Durable Polycarbonate Luggage | 3 Year International Warranty | Suitcase for Travel | Green,5829.0,33470.0,82.6,4.1,3241,2026-07-24T14:45:57
B07YZK5NLJ,Aristocrat,Aristocrat Polyester 63 cms Red Travel Duffle (Rookie),999.0,3990.0,75.0,4.2,1649,2026-07-24T14:46:25
B0CWSCT2VJ,Aristocrat,Aristocrat Enigma 52 Cm Polyester Softsided Cabin Size Duffle Bag - Red,419.0,2080.0,79.9,4.3,1784,2026-07-24T14:47:31
B0CWSB5B17,Aristocrat,Aristocrat Enigma 52 Cm Polyester Softsided Cabin Size Duffle Bag - Blue,419.0,2080.0,79.9,4.3,1784,2026-07-24T14:48:02
B09NXV58V3,Aristocrat,"Aristocrat Polyester Rookie Duffle Bag(E) 62 Teal Blue, 30 Cm",639.0,4160.0,84.6,4.1,3116,2026-07-24T14:48:30
B07YZF923N,Aristocrat,Aristocrat Polyester 63 cms Teal Blue Travel Duffle (Rookie),999.0,3990.0,75.0,4.2,1471,2026-07-24T14:49:03
B0D4RBM6Q6,Aristocrat,"Aristocrat Airpro Cabin (Small Size) Hard Case Trolley Bag, 8 Wheels, Polypropylene Case Luggage, Combination Lock, Travel-Friendly, for Men & Women, 3-Year Global Warranty, 55 cm, Poseidon Blue",1499.0,7500.0,80.0,4.2,10323,2026-07-24T14:50:00
B09NXVCXJW,Aristocrat,Aristocrat Polyester Hard 50 Cms Luggage- Suitcase Travel Duffle (Dfroo52Etbl_Teal Blue),549.0,3570.0,84.6,4.3,1786,2026-07-24T14:50:30
