asin,stars,title,text,date,verified,helpful,scraped_at
B097JLKP8X,5.0,Good Quality Reasonable Price- Has to be Safari,Its good quality suitcase which is ideal for 2-3days travel. I have used it several times till now and since because of it outer design its scratch proof it still look new. Easily fits in aircraft cabin. If you are travelling by railway you can even keep it on your berth and sleep (depends on your height too). Sturdy wheels and good look.,8 October 2019,True,One person found this helpful,2026-07-24T14:14:03
B097JLKP8X,4.0,Value for Money,"PROS

1.Packing was good and protected

2. Brand new product nothing to complain about

3. I’m using it frequently as i travel a lot and the feed back is good.

4. Quality wise its good.

5. Value for money.

CONS

It has a little less utility space as compared to the trolley that comes in fabric of the same size and same brand but nothing to complain about that.

Verdict

I highly recommend it go for it.

Read more",5 June 2019,True,20 people found this helpful,2026-07-24T14:14:03
B097JLKP8X,5.0,The color is stunning! A very sturdy product,"- It is scratchproof. Any scratches I got during my travel in trains/buses it could immediately be just ""cleaned""

- The wheels are buttery smooth. No drag at all.

- The drag handle is great. Can mostly lift and manoeuvre using it.

- The colour and the looks are stunning. Definitely not discreet. It's a head-turner. (I bought it assuming it would be discreet because of the dark look but turned out to be the exact opposite. No regrets)",28 October 2019,True,,2026-07-24T14:14:03
B097JLKP8X,1.0,Worst Telescopic Handle,The Telescopic Handle is of worst quality.,16 July 2026,True,,2026-07-24T14:14:03
B097JLKP8X,3.0,A perfect budget cabin trolley .,"Kuddos to amazon for 1 day delivery and super packing

.

Pros

Compact size .(perfect for 2days business tour )

Premium color and texture.

Light weight and flexible plastic.(feels like it can take some abuse )

Good quality wheels and handle bar.

Cons

Cheap quality zipper and sticking.

.My product already had few scraches here and there(might be a rare case of miss handling ).",27 July 2019,True,2 people found this helpful,2026-07-24T14:14:03
B097JLKP8X,4.0,Trolly bag w/o Pad Lock for additional Safety.,"Cabin trolley is of same requirements as needed, but lacks tiny pad lock arrangements in addition to numeric lock.",18 July 2026,True,,2026-07-24T14:14:03
B097JLKP8X,5.0,Perfect mideum size,"This is not small like 55cm and big like 65cm, perfect middle size for short trips",21 July 2023,True,,2026-07-24T14:14:03
B0FDG7HRNS,5.0,Good Quality,"Nice bag with good durability, I have used it on multiple trips. It is nice and reliable.",20 July 2026,True,,2026-07-24T14:14:54
B0FDG7HRNS,4.0,Ok,Good product,20 July 2026,True,,2026-07-24T14:14:54
B0FDG7HRNS,5.0,Good quality,Very good deal in this price,16 July 2026,True,,2026-07-24T14:14:54
B0FDG7HRNS,3.0,Low quality than expected at this cost,Quality is not good. Same cost model in offline shops has more quality than this. Size is small and it has no additional features compared with offline models at same cost. According to my estimation it costs only Rs 700/- to 800/-.,22 June 2026,True,3 people found this helpful,2026-07-24T14:14:54
B0FDG7HRNS,1.0,Quality,Waste product and quality as the amount is more and product is small and when i returned it no delivery man has come to take it service is also not response from Amazon i suggest u to not buy it he told he would come on 27 but till now there is no response,28 June 2026,True,5 people found this helpful,2026-07-24T14:14:54
B0FDG7HRNS,5.0,?,"Compact and strong bag,chain wheel handle good quality, cheaper than outlets.

Satisfied with the product 😊",24 June 2026,True,,2026-07-24T14:14:54
B0FDG7HRNS,5.0,GOOD CONDITION C3,Receipted item is found good.,21 July 2026,True,,2026-07-24T14:14:54
B0FDG7HRNS,4.0,You can buy at 899 also,Nice and good quality,9 July 2026,True,,2026-07-24T14:14:54
B0FLYFYT23,5.0,Excellent product 🤩,"I recently purchased the Safari Medium Genius Alley 66 cm trolley, and I'm very satisfied with the overall quality. The suitcase feels sturdy and well-built, with a premium finish that gives confidence it can handle regular travel. The wheels roll smoothly, the handle is comfortable to use, and the storage space is perfect for medium-length trips.

Considering the build quality, design, and functionality, it's definitely worth the price. It looks stylish and offers great value for money. If you're looking for a reliable and durable medium-sized trolley, I would definitely recommend this one.",3 July 2026,True,22 people found this helpful,2026-07-24T14:15:21
B0FLYFYT23,4.0,Quality of the Product,"Product is just as expected!

Good Quality and also Light Weighted.

Has a 3 Year Warranty which is a great perk! Size is what it should be Large,Medium and Small. Appears nice at a glance.Worth the Price.",4 June 2026,True,26 people found this helpful,2026-07-24T14:15:21
B0FLYFYT23,5.0,"Good in quality, value for money",Quality is too good,11 July 2026,True,2 people found this helpful,2026-07-24T14:15:21
B0FLYFYT23,5.0,Size and colour is good.,"Good product, size is perfect.",15 July 2026,True,One person found this helpful,2026-07-24T14:15:21
