asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B07HCRSLFY,Skybags,Skybags Rubik Polyester 78 Cms Softsided Large check-in luggage,2875.0,,,4.3,19167,2026-07-24T14:36:50
B073JSGMRS,Skybags,Skybags Cardiff Polyester 63.5 cms Red Travel Duffle (DFTCAR62ERED) (DFTCAR62RED),1489.0,4620.0,67.8,4.2,5764,2026-07-24T14:37:27
B073JSGN6G,Skybags,Skybags Cardiff Polyester 55 cms Red Travel Duffle (DFCAR55RED),859.0,2230.0,61.5,4.2,11458,2026-07-24T14:37:57
B073JZ9QGR,Skybags,Skybags Cardiff Polyester 63.5 cms Blue Travel Duffle (DFTCAR62EBLU) (DFTCAR62BLU),1518.0,4620.0,67.1,4.2,6333,2026-07-24T14:38:43
B073JW8LNK,Skybags,Skybags Cardiff Polyester 52 cms Blue Travel Duffle (DFTCAR52BLU),859.0,3730.0,77.0,4.2,6471,2026-07-24T14:39:17
B07F342RQD,Skybags,"Skybags Polyester Solid Pattern Hustle Duffle Bag 55 (Orange, Small), 33 Cm,W-33 Cm",1599.0,3675.0,56.5,4.4,933,2026-07-24T14:40:03
B0C8ZNNCQW,Skybags,"Skybags Stroke Check-in (Medium Size) Printed Hard Case Trolley Bag, 67 cm, Lightweight Luggage with 8 Wheels, Combination Lock, Travel-Friendly, for Men & Women, 5-Yr Warranty, Blue-White",2299.0,6450.0,64.4,4.2,2788,2026-07-24T14:41:10
B0C8ZD8KNP,Skybags,"Skybags Medium ABS Trooper Size Hardshell Luggage (65 Cm) | Printed Luggage Inline Trolley Bag with 4 Wheels and Resetable Combination Lock | Unisex, Green",2599.0,9100.0,71.4,4.2,21842,2026-07-24T14:41:41
B0B4S8VYQW,Skybags,"Skybags Polyester Soft 57 Cms 4 Spinner Wheels Luggage- Suitcase(Strubw57Eblk_Black), 38 Cm",2043.0,6680.0,69.4,4.3,19167,2026-07-24T14:42:30
B0C8ZMBZDK,Skybags,Skybags Stroke Large Size Hard Luggage (77 cm) | Printed Luggage Trolley with 8 Wheels and in-Built Combination Lock | Unisex,1739.0,8450.0,79.4,4.0,27,2026-07-24T14:43:03
