asin,stars,title,text,date,verified,helpful,scraped_at
B07HCRSLFY,5.0,Value for money product.,Nice product. For unlocking the bag plz set all three number locks to zero and then press side button.,21 June 2026,True,,2026-07-24T14:36:51
B07HCRSLFY,5.0,Worth it,"Quality is very good, as shown in the image. Overall its nice and sturdy, wheels are smooth and sturdy, Storage capacity is as shown Medium size.",2 June 2026,True,One person found this helpful,2026-07-24T14:36:51
B07HCRSLFY,5.0,Good quality,Good product..,13 July 2026,True,,2026-07-24T14:36:51
B07HCRSLFY,3.0,Looks used or poor delivery,"Looked like used, all over the product the plastic was torn. Wheels are all used and layer of dirt.",9 June 2026,True,,2026-07-24T14:36:51
B073JSGMRS,5.0,good product. we can buy,Looks durable. Worth buying. Very good product,24 October 2025,True,,2026-07-24T14:37:27
B073JSGMRS,4.0,Good,Product is good but small 1 inch length and width as per given detail. If I am not wrong measure the product with your available stock,8 June 2026,True,One person found this helpful,2026-07-24T14:37:27
B073JSGMRS,5.0,"Stylish, Spacious & Reliable — A Perfect Travel Companion","The Skybags Cardiff Polyester 63.5 cms Red Travel Duffle (DFTCAR62ERED) is a great blend of style, durability, and practicality, making it an excellent choice for both short trips and extended travel.

Design & Build Quality:

The first thing that stands out is its vibrant red color, which gives it a bold and modern look. Made from high-quality polyester, the bag feels sturdy and durable, capable of handling regular use without wear and tear. The stitching is strong, and the zippers glide smoothly, adding to the overall premium feel.

Storage & Capacity:

With a size of 63.5 cm, this duffle offers ample space for clothes, shoes, and travel essentials. It easily accommodates packing for a 3–5 day trip. The main compartment is spacious, and additional pockets help keep smaller items organized.

Portability & Comfort:

The bag comes with both carry handles and an adjustable shoulder strap, providing flexibility in carrying. Even when fully packed, it remains relatively comfortable to carry. The lightweight design is an added advantage for travelers who want to avoid extra bulk.

Durability:

Skybags has done a good job ensuring the material can withstand rough handling during travel. Whether you’re using it for road trips, gym sessions, or short vacations, it holds up well over time.

Pros:

• Eye-catching and stylish design

• Spacious interior with good organization

• Durable polyester material

• Lightweight and easy to carry

• Smooth and reliable zippers

Cons:

• Lacks trolley wheels (not ideal for heavy packing)

• Limited external compartments

Final Verdict:

The Skybags Cardiff Red Travel Duffle is a dependable and stylish option for travelers looking for a spacious yet lightweight bag. It offers great value for money and is especially suitable for short trips, gym use, or weekend getaways.

Rating: 4.5/5

Read more",28 March 2026,True,3 people found this helpful,2026-07-24T14:37:27
B073JSGMRS,5.0,Nice,Nice bag,27 April 2026,True,,2026-07-24T14:37:27
B073JSGMRS,4.0,Worthy product,Product is good but packing is very worst.No safely packing,1 April 2026,True,,2026-07-24T14:37:27
B073JSGMRS,3.0,Good,Price label not available with package,21 July 2026,True,,2026-07-24T14:37:27
B073JSGMRS,1.0,Very poor quality,Very poor quality,17 June 2026,True,,2026-07-24T14:37:27
B073JSGN6G,5.0,Excellent Product,"Very Good Quality Material Used for Bag and The Bag is Very Sturdy for Long Travelling.

Great Product with Best Price",5 July 2026,True,One person found this helpful,2026-07-24T14:37:57
B073JSGN6G,4.0,Worth buying,"This is Worth buying bag I must say. Material and zip quality is top notch. Pocket space is very good, you can carry more than enough luggage with this buying. 700 price justify the product. If you get it lower than that just buy it without a second blink.",21 June 2026,True,3 people found this helpful,2026-07-24T14:37:57
B073JSGN6G,5.0,A decent bag that’s worth the price,"I’ve used this kitbag for two trips so far.

👍🏼👍🏼

2 decent side pockets and two smaller front pockets for things you need to access quickly.

Seems fairly durable.

Perfect for cabin baggage.

😬😬

The main compartment zipper is in the centre. This is not as good as a u-shaped zip line that opens the top like a flap and makes it easier to pack and unpack your things. I used it to carry a small printer. But getting that printer in was a bit of a pain.

The long strap has no padding, so if it’s slightly heavier it might be less comfortable to keep on your shoulder.",27 April 2025,True,11 people found this helpful,2026-07-24T14:37:57
B073JSGN6G,5.0,Good quality,Good and value for money,6 May 2026,True,,2026-07-24T14:37:57
B073JSGN6G,3.0,Good at the budget,Ok Quality!,15 January 2026,True,,2026-07-24T14:37:57
B073JSGN6G,4.0,Good product always,Good and quality product with a amazing affordable price.,23 March 2026,True,One person found this helpful,2026-07-24T14:37:58
B073JSGN6G,5.0,Spacious,Good very spacious,18 July 2026,True,,2026-07-24T14:37:58
B073JSGN6G,5.0,Overall good product,Great product to choose. Easily pack your belonging from 7-10 days easily. Good quality stiching is used. Easy to carry. No pain on the shoulders when carrying. Look wise good. Ample space to carry clothes. Ideal for travelling. Lower part has support when placing on the ground which helps from scratches and cut to the body.,7 November 2025,True,3 people found this helpful,2026-07-24T14:37:58
B073JSGN6G,1.0,Worst quality ever. Amazon gone extremely low quality.,Product's quality is very low and I found the price tag of the product which is shipped from another country and it is equivalent to 30AED. Never buy products online.,24 July 2022,True,,2026-07-24T14:37:58
B073JZ9QGR,5.0,Quality,Very good quality,28 June 2026,True,,2026-07-24T14:38:43
B073JZ9QGR,4.0,SAFARI,Very good product.Thanks Amazon,12 September 2025,True,One person found this helpful,2026-07-24T14:38:43
B073JZ9QGR,5.0,Worth the price,"Got this in Amazon Prime Day sale for about 1.9k (I think) INR. Really good bag. Can pull and carry it depending on need. It is a bit huge, probably near the dimensions of medium or large sized baggage, but it is much more spacier- I carried about 4 days worth of clothes for 2 people and several books in it and there was still room left over. It's very easy to manuever and- my most favorite part- it makes little to no noise when you pull it through the ground. Would definitely recommend this one, worth the price.",11 August 2021,True,4 people found this helpful,2026-07-24T14:38:43
B073JZ9QGR,5.0,Lowest price,"Very good product and comfortable

Quality is high",19 April 2026,True,,2026-07-24T14:38:43
B073JZ9QGR,3.0,Good,Good at this price,15 October 2025,True,,2026-07-24T14:38:43
B073JZ9QGR,4.0,OK.Good. Spacious,"OK. Parcel was little open but not completely. Item is good. Loaded much pairs of dresses and many. Front pockets also useful. Spacious.1660 is Deal Price.Just Initial review.Once start using more can be shared here. 300 Rs extra amount I feel than worth. But 200 goes for tax only. So reasonable or 150 Rs extra. Quality wise good.Again it is initial first day review only. It is up to every individual buying this on their own need and interest. For me it is ok. Not given seal on warranty card. But bill is there we can try if required any. Bag material is somehow thin. Don't put hard things which may damage material. Can be used for travel with much load. 10 Pairs min we can put. After a month usage, still good.",15 March 2019,True,7 people found this helpful,2026-07-24T14:38:43
B073JZ9QGR,5.0,Loved the product. Insanely strong !,"This is a beautiful and strong product. My mom dad everyone liked it. First they were like why u r buying this expensive product your things wont fit in but then it arrived at home and u wont believe everything accomodated so well and still spaces left. I had some heavy cookwares to bring from home, i thought the bad will tear or break but we handled it with care and packed everything well and voila !! I arrived at my place with all heavy stuff in it without any damage to my stuff or bag. The weight i carried in this bag was 21 kgs. But amazingly it did so well though its not recommended to carry such heavy weight in this bag, i had no choice. Overall this bag deserves applause. Very sturdy, specious, easy to carry and stylish. Better than my trolly bag in terms of space and carrying capacity. Go for it. Thanks skybags and amazon.",6 August 2019,True,9 people found this helpful,2026-07-24T14:38:43
