asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B0D4S5DCG4,VIP,"VIP Cabin Polypropylene (PP) Quad Active 55 Cm 8 Spinner Wheels Trolley Bags For Travel, Hard Case Lightweight Bag With Combination Lock, Tough Suitcase For Travel (Blue) (Small)",1999.0,7000.0,71.4,4.2,471.0,2026-07-24T15:07:03
B0D4RCWTTZ,VIP,VIP Quad Active 66 Cm Medium Polypropylene Hard-Sided 8 Spinner Check-in Trolley Bag with Combination Lock (Black),2550.0,10090.0,74.7,4.2,471.0,2026-07-24T15:07:39
B0CBTZP3CL,VIP,"VIP Unicorn Nxt 8W Str 80 Cm | Check-in Polyester Soft Sided 8 Wheels Spinner Trolleys (Blue, Large)",5999.8,10200.0,41.2,3.8,38.0,2026-07-24T15:10:33
B0GY8KGBHK,VIP,"VIP Aristocrat Set of 3 Pc Cabin 55cm(Small) Check-in 66cm(Medium) Check-in 75cm(Large) 8 Wheels Trolley Bags for Travel Hard Case Luggage, Combination Lock | 3-Year Warranty (Metallic Grey)",5999.0,15000.0,60.0,5.0,1.0,2026-07-24T15:11:31
B0H56B2KWK,VIP,"VIP Polypropylene (PP) Quad Active Cabin 55 Cm (Small) 8 Spinner Wheels Trolley Bags for Travel, Hard Case Lightweight Bag with Combination Lock (Taupe Blue, Cabin | 55 cm | Small)",1799.0,7900.0,77.2,4.2,471.0,2026-07-24T15:12:24
B0D4RCT1D6,VIP,"VIP Polypropylene (Pp) Quad Active Cabin 55 Cm 8 Spinner Wheels Trolley Bag for Travel, Hardshell Lightweight Bag with Combination Lock, Tough Suitcase for Travel (Red) (Small)",1799.0,7900.0,77.2,4.2,471.0,2026-07-24T15:13:32
B0H5C5C8K9,VIP,"VIP Polypropylene (PP) Quad Active Cabin 55 Cm (Small) 8 Spinner Wheels Trolley Bags for Travel, Hard Case Lightweight Bag with Combination Lock (Green, Cabin | 55 cm | Small)",1799.0,7900.0,77.2,4.2,471.0,2026-07-24T15:14:19
B0H3MHSSV5,VIP,"VIP Polypropylene (PP) Quad Active 8 Spinner Wheels Trolley Bags for Travel, Hard Case Lightweight Bag with Combination Lock, Tough Suitcase for Travel (Green) (Small | 55 CM | Cabin)",1799.0,7900.0,77.2,,,2026-07-24T15:15:14
B0DDLDXT8N,VIP,Skybags Splash Set (55+65+75 cm) | Printed Luggage Trolley Set with 8 Wheels and in-Built Combination Lock | Unisex (Blue),6749.0,19998.0,66.3,4.0,107.0,2026-07-24T15:15:48
B0GC54KDZ3,VIP,VIP AER Plus Pro Check-in Trolley Bag 77cm | Large | Hard Luggage | Smooth 8-Wheel Suitcase | Premium Polypropylene | Flushed TSA Lock Business Travel Luggage | 3 Years International Warranty (Black),6294.0,10490.0,40.0,,,2026-07-24T15:16:28
