asin,stars,title,text,date,verified,helpful,scraped_at
B0BTHN42H6,5.0,About Quality and Space,"Excellent duffle bag, good quality product, you can believe on American tourister, please American tourister make this type bag more",13 May 2026,True,,2026-07-24T14:29:01
B0BTHN42H6,4.0,Not a stroller,This is not a stroller but only a bag. Otherwise smart and sturdy,16 July 2026,True,,2026-07-24T14:29:01
B0BTHN42H6,5.0,Achha hai,Very Nice,9 December 2025,True,One person found this helpful,2026-07-24T14:29:01
B0BTHN42H6,1.0,No trolley type,Picture shows trolley but I received without trolley wheels,22 April 2026,True,One person found this helpful,2026-07-24T14:29:01
B0BTHN42H6,5.0,Big and Good quality,Good one. Bought for my mom. Worth the price,13 April 2024,True,,2026-07-24T14:29:02
B0BTHN42H6,3.0,Larger size is not looking cool,Size is a bit large . 52 c.m lenth is not handy. Rest is ok,15 June 2026,True,,2026-07-24T14:29:02
B0BTHN42H6,5.0,Wonderful,Good quality,7 July 2023,True,,2026-07-24T14:29:02
B0F5HMQ99S,5.0,Good product.,I needed it urgently for my relocation to Hyderabad. It's good. Build quality is good and looks super cool. Though the colour will is easy to catch any scratches or marks. But I love it. Note it doesn't have any wet pouch.,19 July 2026,True,2 people found this helpful,2026-07-24T14:29:32
B0F5HMQ99S,5.0,Olive green suitcase,"It’s a sleek suitcase, it was love at first sight.

It moves well on the wheels, they move smoothly, it’s worth its price and very durable, the size is good for a good sizable load.",7 May 2026,True,7 people found this helpful,2026-07-24T14:29:32
B0F5HMQ99S,5.0,Good bag,Extremely good quality bag has compartments inside. Strong and tough bag . Easy to carry around. Self weight is too less so good for limited weight luggage,17 June 2026,True,3 people found this helpful,2026-07-24T14:29:32
B0F5HMQ99S,1.0,Disappointed with the American Tourister Trolley,"I recently purchased the American Tourister Ivy 78 Cms Large Check-in Polypropylene (PP) trolley, and I must say that I am thoroughly disappointed with its performance. Despite its promising features, this suitcase failed to meet my expectations in several key areas.

First and foremost, the build quality of this trolley is subpar. The polypropylene material used feels cheap and flimsy, making me question its durability. Within just a few uses, I noticed visible scratches and scuff marks on the surface, which is unacceptable for a product that is meant to endure the rigors of travel.

Furthermore, the wheels on this trolley are a major letdown. They lack smoothness and maneuverability, making it a struggle to navigate through crowded airports or uneven surfaces. The wheels frequently jammed and became stiff, adding unnecessary frustration to my travel experience. I expected better performance from a reputable brand like American Tourister.

Additionally, the handle mechanism was poorly designed. It felt flimsy and had a noticeable wobble, which made it uncomfortable to pull the trolley. I had concerns about its longevity and worried that it might break during my travels. A reliable handle is essential for a check-in suitcase, and the American Tourister Ivy failed to deliver in this aspect.

Lastly, the overall aesthetics of the trolley were uninspiring. The design lacked innovation and appeared outdated. For the price I paid, I expected a more stylish and modern look. It is disappointing when a product not only underperforms in terms of functionality but also fails to make a positive impression visually.

In conclusion, the American Tourister Ivy 78 Cms Large Check-in Polypropylene (PP) trolley fell short of my expectations. Its poor build quality, subpar wheels, flimsy handle, and unappealing aesthetics make it difficult for me to recommend this product. I regret my purchase and would advise potential buyers to explore other options before settling for this particular suitcase

Read more",18 July 2023,True,98 people found this helpful,2026-07-24T14:29:32
B0F5HMQ99S,5.0,Superb choice,Got this for Rs. 2100. Absolutely thrilled!,13 July 2026,True,,2026-07-24T14:29:32
B0F5HMQ99S,3.0,It's ok on,Good color n good quality,4 July 2026,True,,2026-07-24T14:29:32
B0F5HMQ99S,4.0,It’s Alright,"I haven’t had the chance to use it properly yet. But I do agree with the other reviewers stating that the handle seems flimsy. The wheels work smoothly for now. It’s okay for the price but, American tourister level standard nahhhhh. Idts that they hit the mark with this one.",8 July 2026,True,7 people found this helpful,2026-07-24T14:29:32
B0F5HGKNSR,5.0,Good product.,I needed it urgently for my relocation to Hyderabad. It's good. Build quality is good and looks super cool. Though the colour will is easy to catch any scratches or marks. But I love it. Note it doesn't have any wet pouch.,19 July 2026,True,2 people found this helpful,2026-07-24T14:30:03
B0F5HGKNSR,5.0,Olive green suitcase,"It’s a sleek suitcase, it was love at first sight.

It moves well on the wheels, they move smoothly, it’s worth its price and very durable, the size is good for a good sizable load.",7 May 2026,True,7 people found this helpful,2026-07-24T14:30:03
B0F5HGKNSR,5.0,Good bag,Extremely good quality bag has compartments inside. Strong and tough bag . Easy to carry around. Self weight is too less so good for limited weight luggage,17 June 2026,True,3 people found this helpful,2026-07-24T14:30:03
B0F5HGKNSR,1.0,Disappointed with the American Tourister Trolley,"I recently purchased the American Tourister Ivy 78 Cms Large Check-in Polypropylene (PP) trolley, and I must say that I am thoroughly disappointed with its performance. Despite its promising features, this suitcase failed to meet my expectations in several key areas.

First and foremost, the build quality of this trolley is subpar. The polypropylene material used feels cheap and flimsy, making me question its durability. Within just a few uses, I noticed visible scratches and scuff marks on the surface, which is unacceptable for a product that is meant to endure the rigors of travel.

Furthermore, the wheels on this trolley are a major letdown. They lack smoothness and maneuverability, making it a struggle to navigate through crowded airports or uneven surfaces. The wheels frequently jammed and became stiff, adding unnecessary frustration to my travel experience. I expected better performance from a reputable brand like American Tourister.

Additionally, the handle mechanism was poorly designed. It felt flimsy and had a noticeable wobble, which made it uncomfortable to pull the trolley. I had concerns about its longevity and worried that it might break during my travels. A reliable handle is essential for a check-in suitcase, and the American Tourister Ivy failed to deliver in this aspect.

Lastly, the overall aesthetics of the trolley were uninspiring. The design lacked innovation and appeared outdated. For the price I paid, I expected a more stylish and modern look. It is disappointing when a product not only underperforms in terms of functionality but also fails to make a positive impression visually.

In conclusion, the American Tourister Ivy 78 Cms Large Check-in Polypropylene (PP) trolley fell short of my expectations. Its poor build quality, subpar wheels, flimsy handle, and unappealing aesthetics make it difficult for me to recommend this product. I regret my purchase and would advise potential buyers to explore other options before settling for this particular suitcase

Read more",18 July 2023,True,98 people found this helpful,2026-07-24T14:30:03
B0F5HGKNSR,5.0,Superb choice,Got this for Rs. 2100. Absolutely thrilled!,13 July 2026,True,,2026-07-24T14:30:03
B0F5HGKNSR,3.0,It's ok on,Good color n good quality,4 July 2026,True,,2026-07-24T14:30:03
B0F5HGKNSR,4.0,It’s Alright,"I haven’t had the chance to use it properly yet. But I do agree with the other reviewers stating that the handle seems flimsy. The wheels work smoothly for now. It’s okay for the price but, American tourister level standard nahhhhh. Idts that they hit the mark with this one.",8 July 2026,True,7 people found this helpful,2026-07-24T14:30:03
B07XQMVHSY,5.0,Nice Product,Good Quality,22 November 2025,True,,2026-07-24T14:30:33
B07XQMVHSY,4.0,Alexs,"Super product, better for rough use and easy packing",10 June 2026,True,,2026-07-24T14:30:33
B07XQMVHSY,5.0,Worth for price,Recently I buyed. That first satisfaction is luggage view is very beautiful and material thickness was very good. You must go for this product. Good one perfect space and wheel is worth quality.,7 January 2020,True,20 people found this helpful,2026-07-24T14:30:33
B07XQMVHSY,5.0,.,Quality is very good......,14 November 2025,True,,2026-07-24T14:30:33
B07XQMVHSY,3.0,Good but not great,Got it for Rs.950 during the sale. The belts are not so strong and thick and the joints are made of plastic. I think it would not last long if used to carry very heavy weights. However considering the price range the product is quite good and value for money even if it lasts for only 2-3 years.,25 October 2020,True,2 people found this helpful,2026-07-24T14:30:33
B07XQMVHSY,5.0,Very nice product,This meets my specific requirements. Very nice product.,7 July 2025,True,,2026-07-24T14:30:33
B0FFBKRVDD,5.0,Review,Amazing product. Great value for money.,17 June 2026,True,,2026-07-24T14:31:04
B0FFBKRVDD,5.0,"8 wheels, good zipper and material.",Very good product with 8 wheels,13 June 2026,True,,2026-07-24T14:31:04
B0FFBKRVDD,4.0,You can buy this,It’s a mid sized bag very well built with solid wheels . Would recommend anyone to buy it,25 June 2026,True,,2026-07-24T14:31:04
B0FFBKRVDD,5.0,"It's perfect, you can check size up to wheel.",It's fine,14 June 2026,True,One person found this helpful,2026-07-24T14:31:04
B0FFBKRVDD,1.0,Average quality. Very difficult to return.,"Product is average. I wasn't satisfied with the quality as it did not feel strong and sturdy enough so I wanted to return but amazon does not provide the return service so I had to ship this myself to the seller which was a whole time consuming process.

They generated a request and I had to submit the shipment bills to Amazon to get my money back which took about 3 weeks and 10 customer care chats. The seller couldn't be contacted and it doesn't say that you'll have to ship the product incase you want to return so you are unaware about the hassle.",19 May 2026,True,5 people found this helpful,2026-07-24T14:31:04
B0FFBKRVDD,5.0,Where is key,Itom is good but in this product key option but didn't send key,11 May 2026,True,3 people found this helpful,2026-07-24T14:31:05
B0FFBKRVDD,5.0,Perfect!,"The bag is quite spacious and perfect for long trips. The soft material feels sturdy yet lightweight, and the wheels glide smoothly even when the bag is fully packed. The handle is comfortable to hold, and the external pockets are very handy for quick-access items. Overall, it’s a great combination of looks, practicality, and quality. Price is little more, amazon should improve the package.",15 October 2025,True,2 people found this helpful,2026-07-24T14:31:05
B0DRVVLTQ2,5.0,Suit case received with the good condition.,Very nice and within time delivered.,26 August 2025,True,,2026-07-24T14:31:33
B0DRVVLTQ2,1.0,Poor quality,Very bad quality locks are bad,30 January 2026,True,,2026-07-24T14:31:33
B0DRVVLTQ2,3.0,Bsns,Bahar se dikhne me to achha h par andar se attractive nhi h,23 November 2025,True,,2026-07-24T14:31:33
B0DRVVLTQ2,2.0,Poor Quality,Item quality is very very poor.,6 August 2025,True,,2026-07-24T14:31:34
B0DRVVLTQ2,1.0,Missing,"There is only one package was delivered,

Of pack 2 (C+ M )",11 August 2025,True,One person found this helpful,2026-07-24T14:31:34
B07Z417Y94,5.0,Nice product,"Nice product , enough storage space and good in appearance, the wheels are of good quality",24 June 2026,True,,2026-07-24T14:33:00
B07Z417Y94,4.0,Good but not strong but okay,Good and stylish matte black colour but handle is little bit thin not feel strong otherwise product is good at this price range,12 March 2026,True,One person found this helpful,2026-07-24T14:33:00
B07Z417Y94,1.0,Wheel good size comfortable,Quality of plastic not good and also chain poor variety,6 June 2026,True,,2026-07-24T14:33:00
B07Z417Y94,5.0,Good suit case,Build quality good,5 June 2026,True,One person found this helpful,2026-07-24T14:33:00
B07Z417Y94,3.0,Ok ok product,It's not that hard material... Not sure about the quality.. otherwise it's a good product,19 July 2026,True,,2026-07-24T14:33:00
B073XL1C3W,5.0,Satisfied for spending,"Good product. Light weight, lock & zipper working good. Thin material so enough space available to carry weight",19 May 2026,True,,2026-07-24T14:33:46
B073XL1C3W,4.0,Good and budget friendly,"Pros.

1. Product quality is good

2. Perfect size for cabin

3. It's Maroon colour in real not red which again good because most of men don't like red colors

4. Enough storage

5. Wheels are also good

Cons.

1. Febrics could be better (but still good according to the price)",13 July 2026,True,,2026-07-24T14:33:46
B073XL1C3W,5.0,Must buy,"Just wow... Awesome quality bag it is.. All zips super smooth.. All wheels very smooth.. Looks, color beautiful😍 I loved the bag very much💗",21 April 2026,True,2 people found this helpful,2026-07-24T14:33:46
B073XL1C3W,5.0,Very good luggage bagpack,It's a really great luggage back using it as a hosteller great choice. I bought it for 3000,20 March 2026,True,One person found this helpful,2026-07-24T14:33:46
B073XL1C3W,5.0,What a great product !,"I have bought American Tourister Jamaica about 3 years back and though this one says the same name, it is not the same product. We got fooled assuming its the same product that we had bought previously. This one is very inferior, low quality product and it will probably not last more than 1-2 trips.

Neither the seller nor Amazon are willing to take it back even within the return window. It tells you how they themselves feel about this shoddy product. Its worse than a local, no name suitcase.

Save yourself your money and do not buy this suitcase. We are stuck with this and will have to throw it in the dustbin.

Open to discuss with American Tourister, Amazon or the seller.",18 June 2026,True,2 people found this helpful,2026-07-24T14:33:46
B073XL1C3W,4.0,Soft fabric,"Nice product, fiber quality and also material size

I am Fully satisfied 😊",6 February 2026,True,,2026-07-24T14:33:46
B073XL1C3W,3.0,Misleading product description.,"To anyone going for this purchase. Please confirm the product description upon recieving the bag if it's according to what it states by measuring your bag with a measuring tape. Product description says it's 58 cms. And when spoken to the customer service team, they say there is a product description mismatch. And in reality this is a 55 cm trolley bag.

Misleading people is really shameful.",23 March 2026,True,4 people found this helpful,2026-07-24T14:33:46
B073XL1C3W,5.0,Very Nice Product Medium Size Orignal AT B=Luggage,Highly Recommended.,25 April 2024,True,,2026-07-24T14:33:46
B073XL1C3W,5.0,Good quality,I order second one because of good and strong build quality. I really recommend if some one like soft trolley bag then you should go for this.,23 November 2022,True,,2026-07-24T14:33:46
B073XL1C3W,5.0,Goof quality,"Lovely colour, great quality cabin bags.",11 February 2024,True,,2026-07-24T14:33:46
B073XL1C3W,3.0,good material but very small for size,"Very good material and looks pretty but volume is very small for size 69 cm

it holds maximum 20 kg with over filling from sides

i had AT old model with same tall but at least 1.5x volume and hold up tp 30 kg without opening expansion zip",24 April 2023,True,,2026-07-24T14:33:47
