asin,brand,title,price,mrp,discount_pct,rating,review_count,scraped_at
B09GKL9QYD,Nasher Miles,Nasher Miles Medium Paris Hard-Sided Polypropylene Double Spinner Check-in Luggage 24 inch | 65cm | 8 Wheels Trolley Bag for Travel | Suitcase (Pastel Green),2849.0,15995.0,82.2,4.3,2170,2026-07-24T14:53:10
B0CGTX3Z86,Nasher Miles,Nasher Miles Cabin Vienna Hard-Sided Polypropylene Luggage 20 inch | 55cm | 8 Wheels Double Spinner Small Trolley Bag for Travel | Suitcase (Purple),2499.0,13995.0,82.1,4.3,589,2026-07-24T14:53:48
B0BFJ6VM28,Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Purple),3099.0,17995.0,82.8,4.3,2170,2026-07-24T14:54:20
B0CVS1VG1T,Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Check-in 8 Spinner Wheel Luggage Black 28 Inch |75Cm Trolley Bag,3299.0,17995.0,81.7,4.3,2170,2026-07-24T14:54:52
B0CGTVMZBX,Nasher Miles,Nasher Miles Medium Polypropylene Spinner Vienna Hard-Sided Check-in Luggage 24 inch | 65cm | 8 Wheels Trolley Bag for Travel | Suitcase (Cream White),2999.0,15995.0,81.3,4.3,589,2026-07-24T14:55:25
B0CVS1WZ1C,Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (White),3249.0,17995.0,81.9,4.3,2170,2026-07-24T14:55:54
B0GCZGLLK5,Nasher Miles,Nasher Miles Paris Hard-Sided Polypropylene Check-in Luggage 24 inch | 65cm | 8 Wheels Medium Trolley Bag for Travel | Suitcase (Dark Green),2999.0,15995.0,81.3,4.3,2170,2026-07-24T14:56:27
B0BSL1HWKR,Nasher Miles,Nasher Miles Berlin Expander Soft-Sided Polyester Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Teal),5199.0,18995.0,72.6,4.2,533,2026-07-24T14:56:59
B0D76579PT,Nasher Miles,"Nasher Miles Boston Hard-Sided Polypropylene Luggage Set of 3 | 55cm, 65cm & 75cm | 8 Wheels Small, Medium & Large Trolley Bag for Travel | Suitcase (Grey)",8499.0,44985.0,81.1,4.2,732,2026-07-24T14:57:32
B0CGTXW8YJ,Nasher Miles,"Nasher Miles Vienna Hard-Sided Polypropylene Double Spinner Check-in Luggage 28 inch | 75cm | 8 Wheels Large Trolley Bag for Travel | Suitcase (Cool Mint),Green",2799.0,17995.0,84.4,4.3,589,2026-07-24T14:58:06
