asin,stars,title,text,date,verified,helpful,scraped_at
B09GKL9QYD,5.0,Love it,"Sturdy, beautiful color, good quality chain, locks are good,. Wheels are smooth. Too good for the price",14 July 2026,True,,2026-07-24T14:53:10
B09GKL9QYD,5.0,Nasher Miles trolley bag,Received the trolley bag today and I am highly impressed with the quality. The purple color looks exactly as shown in the picture—very premium and stylish. The 75 cm size is perfect for long trips. Getting this at such a massive discount is an absolute steal deal. The wheels and handle operate very smoothly. Highly recommended!,17 May 2026,True,7 people found this helpful,2026-07-24T14:53:10
B09GKL9QYD,5.0,Easy to carry,Good products loved it,14 July 2026,True,,2026-07-24T14:53:10
B09GKL9QYD,5.0,Happy Customer,"The product is very good. The flexible condition and colour look great, and the material is also fine. The lock functionality is also fine. Overall, I like it and love it. The wheels are so smooth to move and the bag is comfortable. The material is also hard and I am happy with the condition.",1 June 2026,True,3 people found this helpful,2026-07-24T14:53:10
B09GKL9QYD,1.0,Don’t buy,Don’t buy very cheap product on 1 st of my tour lock stop working,13 June 2026,True,One person found this helpful,2026-07-24T14:53:10
B09GKL9QYD,4.0,Satisfied,"Good , material should have been thicker",10 May 2026,True,3 people found this helpful,2026-07-24T14:53:10
B09GKL9QYD,5.0,"Stylish, spacious, and very smooth","This bag is a great purchase. The dual wheels make a huge difference in maneuverability compared to single-wheel trolleys. The inside is well-organized with mesh pockets, and the color is exactly as shown. For this price point, the quality of the zippers and the telescopic handle is top-notch. Very happy with this buy!",5 March 2026,True,4 people found this helpful,2026-07-24T14:53:10
B0CGTX3Z86,4.0,Side handle issue,I ordered 55 cm cabin luggage . Quality looks good but in the picture it is showing with top handle and side Handel but what I received was side handle missing. I think seller should clarify that in cabin luggage no side handle is given,12 June 2025,True,2 people found this helpful,2026-07-24T14:53:48
B0CGTX3Z86,5.0,Sturdy Bag at Very good price.,"Bag looks good and sturdy, I checked other brands bags on showroom, like VIP, Skybags, Samsonite, Delsey etc, but the price difference was very high. though we cannot compare the quality of the Bags with price, but if you are not a regular traveler or travel once or twice in a year, this the bag for you.",26 May 2026,True,One person found this helpful,2026-07-24T14:53:48
B0CGTX3Z86,5.0,High value,Very beautiful trolley bag in a affordable price. Good quality product,27 May 2026,True,One person found this helpful,2026-07-24T14:53:48
B0CGTX3Z86,1.0,Misinformation and cheating,Received only a single bag as against an order for 3 pieces set,12 July 2026,True,,2026-07-24T14:53:48
B0CGTX3Z86,4.0,Manual requirement,Nice product and excellent color. Should have a manual to explain functionality,10 January 2026,True,One person found this helpful,2026-07-24T14:53:48
B0CGTX3Z86,5.0,Best purchase till now,"I know photo would not justify how good and how good it feels, but trust me you can not go wrong with this color and how smooth it's wheels and zip are. Outstanding",6 January 2026,True,One person found this helpful,2026-07-24T14:53:48
B0BFJ6VM28,5.0,Love it,"Sturdy, beautiful color, good quality chain, locks are good,. Wheels are smooth. Too good for the price",14 July 2026,True,,2026-07-24T14:54:20
B0BFJ6VM28,5.0,Nasher Miles trolley bag,Received the trolley bag today and I am highly impressed with the quality. The purple color looks exactly as shown in the picture—very premium and stylish. The 75 cm size is perfect for long trips. Getting this at such a massive discount is an absolute steal deal. The wheels and handle operate very smoothly. Highly recommended!,17 May 2026,True,7 people found this helpful,2026-07-24T14:54:20
B0BFJ6VM28,5.0,Easy to carry,Good products loved it,14 July 2026,True,,2026-07-24T14:54:20
B0BFJ6VM28,5.0,Happy Customer,"The product is very good. The flexible condition and colour look great, and the material is also fine. The lock functionality is also fine. Overall, I like it and love it. The wheels are so smooth to move and the bag is comfortable. The material is also hard and I am happy with the condition.",1 June 2026,True,3 people found this helpful,2026-07-24T14:54:20
B0BFJ6VM28,1.0,Don’t buy,Don’t buy very cheap product on 1 st of my tour lock stop working,13 June 2026,True,One person found this helpful,2026-07-24T14:54:20
B0BFJ6VM28,4.0,Satisfied,"Good , material should have been thicker",10 May 2026,True,3 people found this helpful,2026-07-24T14:54:20
B0BFJ6VM28,5.0,"Stylish, spacious, and very smooth","This bag is a great purchase. The dual wheels make a huge difference in maneuverability compared to single-wheel trolleys. The inside is well-organized with mesh pockets, and the color is exactly as shown. For this price point, the quality of the zippers and the telescopic handle is top-notch. Very happy with this buy!",5 March 2026,True,4 people found this helpful,2026-07-24T14:54:20
B0CVS1VG1T,5.0,Love it,"Sturdy, beautiful color, good quality chain, locks are good,. Wheels are smooth. Too good for the price",14 July 2026,True,,2026-07-24T14:54:52
B0CVS1VG1T,5.0,Nasher Miles trolley bag,Received the trolley bag today and I am highly impressed with the quality. The purple color looks exactly as shown in the picture—very premium and stylish. The 75 cm size is perfect for long trips. Getting this at such a massive discount is an absolute steal deal. The wheels and handle operate very smoothly. Highly recommended!,17 May 2026,True,7 people found this helpful,2026-07-24T14:54:52
B0CVS1VG1T,5.0,Easy to carry,Good products loved it,14 July 2026,True,,2026-07-24T14:54:52
B0CVS1VG1T,5.0,Happy Customer,"The product is very good. The flexible condition and colour look great, and the material is also fine. The lock functionality is also fine. Overall, I like it and love it. The wheels are so smooth to move and the bag is comfortable. The material is also hard and I am happy with the condition.",1 June 2026,True,3 people found this helpful,2026-07-24T14:54:52
B0CVS1VG1T,1.0,Don’t buy,Don’t buy very cheap product on 1 st of my tour lock stop working,13 June 2026,True,One person found this helpful,2026-07-24T14:54:52
B0CVS1VG1T,4.0,Satisfied,"Good , material should have been thicker",10 May 2026,True,3 people found this helpful,2026-07-24T14:54:52
B0CVS1VG1T,5.0,"Stylish, spacious, and very smooth","This bag is a great purchase. The dual wheels make a huge difference in maneuverability compared to single-wheel trolleys. The inside is well-organized with mesh pockets, and the color is exactly as shown. For this price point, the quality of the zippers and the telescopic handle is top-notch. Very happy with this buy!",5 March 2026,True,4 people found this helpful,2026-07-24T14:54:52
B0CGTVMZBX,4.0,Side handle issue,I ordered 55 cm cabin luggage . Quality looks good but in the picture it is showing with top handle and side Handel but what I received was side handle missing. I think seller should clarify that in cabin luggage no side handle is given,12 June 2025,True,2 people found this helpful,2026-07-24T14:55:25
